id;crm;nome;graduacao;atuacao
1;27132;746;tan emulation portals;Plastic Credit Table
2;41805;61840;Cotton Dynamic compressing;Identity
3;37968;46;Supervisor redefine Sausages;PNG pink
4;32328;45746;panel Health;quantifying
5;89734;18964;monitor Gorgeous;Avon
6;8941;8387;Customer Fresh connecting;Applications Senior generate
7;17784;42291;copying;help-desk
8;72682;88408;Regional SSL Steel;Account Cambridgeshire bluetooth
9;19243;13895;Generic Fish;Bike Jersey Technician
10;15604;25823;Designer Berkshire;Open-architected Gorgeous
