id;cpf;nome;idade
1;payment;e-markets;Executive
2;Minnesota connect Metal;Administrator Borders;channels
3;Cheese;THX intranet Ergonomic;compressing
4;programming Intelligent;calculate;killer Arizona hard
5;index;Frozen Outdoors Accountability;Wyoming
6;Fuerte moratorium;Bedfordshire hack;Facilitator deposit content
7;Rhode;Customer Internal;navigating Intelligent Account
8;Unbranded;Granite copying;redefine Buckinghamshire
9;Assurance Hat Reactive;responsive Tasty;Secured Tasty Object-based
10;frame;exploit Music Tuna;Generic
